# blastp
# Iteration: 8
# Query: 6KFS_A
# RID: 0BN3H81S016
# Database: refseq_protein
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives
# 199 hits found
6KFS_A	WP_073235363.1	31.102	254	164	4	12	263	2	246	1.13e-141	407	48.03
6KFS_A	WP_015332822.1	27.953	254	172	4	13	264	3	247	2.94e-141	406	47.24
6KFS_A	WP_184160290.1	27.092	251	172	4	16	264	2	243	2.61e-140	403	47.81
6KFS_A	WP_110366918.1	27.600	250	170	4	17	264	4	244	2.92e-140	403	45.60
6KFS_A	WP_084085857.1	27.490	251	171	4	16	264	2	243	3.01e-140	403	47.41
6KFS_A	WP_028521775.1	29.084	251	167	4	13	261	3	244	3.75e-140	403	47.81
6KFS_A	WP_136523142.1	27.600	250	170	4	17	264	4	244	4.11e-140	402	45.60
6KFS_A	WP_069380885.1	32.283	254	161	4	12	263	2	246	4.52e-140	402	48.03
6KFS_A	WP_166559794.1	30.196	255	167	4	12	264	2	247	4.88e-140	402	46.27
6KFS_A	WP_074610199.1	29.921	254	167	4	12	263	2	246	5.16e-140	402	46.85
6KFS_A	WP_183971264.1	29.084	251	167	4	13	261	3	244	5.95e-140	402	48.21
6KFS_A	WP_114067546.1	29.804	255	168	4	12	264	2	247	5.95e-140	402	46.27
6KFS_A	WP_103727191.1	27.165	254	174	4	14	265	3	247	7.07e-140	402	46.06
6KFS_A	WP_047493470.1	27.888	251	170	4	16	264	2	243	7.90e-140	402	47.41
6KFS_A	WP_048503838.1	27.490	251	171	4	16	264	2	243	7.99e-140	402	47.01
6KFS_A	WP_115919248.1	28.287	251	169	4	16	264	2	243	1.12e-139	401	47.41
6KFS_A	WP_165307541.1	27.092	251	172	4	16	264	2	243	1.14e-139	402	48.21
6KFS_A	WP_106011341.1	27.490	251	171	4	16	264	2	243	1.28e-139	401	47.81
6KFS_A	WP_142686817.1	28.685	251	168	4	16	264	2	243	1.86e-139	401	47.41
6KFS_A	WP_114460255.1	29.804	255	168	4	12	264	2	247	1.94e-139	401	46.27
6KFS_A	WP_165308671.1	27.888	251	170	4	16	264	2	243	2.50e-139	401	48.21
6KFS_A	WP_159635845.1	27.888	251	170	4	16	264	2	243	2.95e-139	401	47.81
6KFS_A	WP_184628527.1	30.709	254	165	4	12	263	2	246	4.61e-139	400	49.21
6KFS_A	WP_184184064.1	26.693	251	173	4	16	264	2	243	6.77e-139	400	47.41
6KFS_A	WP_144282205.1	27.200	250	171	4	16	263	5	245	7.19e-139	399	47.60
